17:17:23.568 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061259704 is already satisfied
17:17:24.654 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400069409680 is already satisfied
17:17:25.476 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400075741273 is already satisfied
17:17:26.284 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400072901333 is already satisfied
17:17:27.162 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061339649 is already satisfied
17:17:28.035 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400060910127 is already satisfied
17:17:28.802 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400075466554 is already satisfied
17:17:29.549 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400039325040 is already satisfied
17:17:30.288 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400035350986 is already satisfied
17:17:46.939 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400069311057 is satisfied with the Transaction ID 200298380150
17:18:04.001 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400070964180 is satisfied with the Transaction ID 200298380239
17:18:05.525 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400037743547 is already satisfied
17:18:47.967 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - https://www.cersai.org.in/CERSAI/home.prg URL Opened Successfully in chrome browser
17:19:21.190 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061340464 is already satisfied
17:19:22.452 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400038952731 is already satisfied
17:19:23.700 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061047540 is already satisfied
17:19:25.140 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400060915521 is already satisfied
17:19:26.280 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400026181708 is already satisfied
17:19:27.186 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400062567667 is already satisfied
17:19:28.153 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061259704 is already satisfied
17:19:29.212 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400069409680 is already satisfied
17:19:30.082 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400075741273 is already satisfied
17:19:31.115 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400072901333 is already satisfied
17:19:32.107 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061339649 is already satisfied
17:19:32.915 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400060910127 is already satisfied
17:19:33.945 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400075466554 is already satisfied
17:19:34.800 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400039325040 is already satisfied
17:19:35.768 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400035350986 is already satisfied
17:19:36.470 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400069311057 is already satisfied
17:19:37.309 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400070964180 is already satisfied
17:19:37.993 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400037743547 is already satisfied
17:19:50.637 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061143727 is satisfied with the Transaction ID 200298380742
17:20:13.204 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400060885301 is satisfied with the Transaction ID 200298380809
17:20:14.743 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400060904319 is already satisfied
17:20:27.487 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061339980 is satisfied with the Transaction ID 200298380916
17:20:40.805 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400038036517 is satisfied with the Transaction ID 200298380984
17:20:54.243 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400063408760 is satisfied with the Transaction ID 200298381040
17:21:08.103 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400070031106 is satisfied with the Transaction ID 200298381111
17:21:21.869 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400039762336 is satisfied with the Transaction ID 200298381175
17:21:27.528 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400060098075 is already satisfied
17:21:28.494 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061240491 is already satisfied
17:21:41.558 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400039238908 is satisfied with the Transaction ID 200298381278
17:21:55.416 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400039722770 is satisfied with the Transaction ID 200298381405
17:22:09.815 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400039797040 is satisfied with the Transaction ID 200298381485
17:22:24.757 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061801815 is satisfied with the Transaction ID 200298381555
17:22:47.096 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400063227980 is satisfied with the Transaction ID 200298381641
17:23:01.781 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400064015287 is satisfied with the Transaction ID 200298381742
17:23:15.611 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400069801281 is satisfied with the Transaction ID 200298381809
17:23:32.198 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061047584 is satisfied with the Transaction ID 200298381873
17:23:47.017 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061683772 is satisfied with the Transaction ID 200298381964
17:24:01.045 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061179950 is satisfied with the Transaction ID 200298382036
17:24:15.053 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400069912023 is satisfied with the Transaction ID 200298382108
17:24:29.342 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400064610065 is satisfied with the Transaction ID 200298382176
17:24:43.181 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400039788097 is satisfied with the Transaction ID 200298382244
17:24:57.527 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400060905372 is satisfied with the Transaction ID 200298382316
17:25:11.390 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400039660663 is satisfied with the Transaction ID 200298382380
17:25:25.632 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400060575747 is satisfied with the Transaction ID 200298382459
17:25:39.251 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400040260508 is satisfied with the Transaction ID 200298382549
17:25:53.619 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061032619 is satisfied with the Transaction ID 200298382620
17:25:55.756 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400039703172 is already satisfied
17:26:09.410 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061047794 is satisfied with the Transaction ID 200298382699
17:26:24.173 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061404233 is satisfied with the Transaction ID 200298382767
17:26:38.615 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400069818300 is satisfied with the Transaction ID 200298382823
17:26:53.348 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061798031 is satisfied with the Transaction ID 200298382888
17:27:07.016 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400062278815 is satisfied with the Transaction ID 200298382948
17:27:21.023 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400059692716 is satisfied with the Transaction ID 200298383013
17:27:35.097 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400064622497 is satisfied with the Transaction ID 200298383078
